Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C
378301,6.00,-6.51,1.24,0.14,0.89,0.40,36.01
378830,-19.61,-15.87,2.30,-1.49,4.07,-4.37,35.97
379356,-3.99,-1.36,8.95,0.62,-1.08,2.04,36.11
379885,6.19,-8.35,2.00,0.23,-0.62,-0.07,36.01
380412,5.37,-8.11,2.95,-0.07,0.09,-0.06,36.01
380940,5.74,-7.60,3.00,-0.07,-0.05,-0.00,36.11
381468,5.54,-7.78,3.13,-0.10,-0.04,-0.01,36.06
381993,5.95,-7.70,3.21,-0.18,0.03,-0.07,36.11
382523,6.41,-8.07,2.93,-0.16,0.01,-0.01,36.11
383047,5.32,-9.06,1.42,-0.66,0.21,-0.36,36.15
383578,5.56,-6.75,3.06,-0.01,0.18,0.07,36.06
384102,5.70,-7.50,2.90,-0.33,-0.07,0.15,36.06
384631,4.41,-4.52,1.73,-0.28,-0.38,0.08,36.11
385153,5.07,-10.14,3.97,0.07,-0.05,-0.51,36.11
385682,5.36,-7.17,2.09,-0.33,0.21,-0.42,36.15
386204,5.93,-7.87,3.79,-0.21,0.19,-0.21,36.06
386779,3.01,-7.47,3.86,0.14,-0.43,0.01,36.15
387303,4.69,-8.87,3.61,0.38,-0.26,-0.07,36.01
387832,3.61,-7.28,2.93,-0.18,0.12,-0.09,36.11
388359,5.82,-7.74,3.35,0.01,-0.72,0.10,36.06
388887,3.14,-7.98,2.23,-0.15,0.38,0.17,36.15
389414,7.13,-7.95,3.22,-0.23,0.71,-0.10,36.11
389940,6.08,-8.23,1.64,0.51,-0.68,0.33,36.11
390468,4.45,-9.35,2.12,0.05,-0.70,-0.43,36.11
390993,6.44,-8.10,1.25,0.01,-0.09,0.02,36.25
391522,6.68,-10.75,2.37,-0.91,0.73,-0.61,36.15
392046,8.32,-5.98,-0.66,-1.02,0.22,-0.57,36.20
392614,7.83,-5.55,1.84,-0.24,0.09,-0.06,36.11
393136,8.08,-5.31,1.13,-0.13,0.17,0.24,36.11
393665,5.27,-8.35,2.16,0.63,-1.56,0.09,36.15
394187,8.10,-6.05,2.14,0.63,-0.56,0.19,36.15
394716,2.99,-9.25,2.20,-0.37,0.46,0.32,36.11
395239,3.98,-7.94,1.93,0.08,-0.04,-0.45,36.29
395770,5.38,-7.88,2.64,-0.13,-0.05,0.06,36.25
396294,5.31,-8.22,1.31,-0.28,-0.08,0.04,36.25
396824,5.58,-7.84,1.89,0.18,0.08,-0.03,36.15
397350,5.62,-8.28,2.21,-0.11,0.05,-0.03,36.20
397878,5.55,-8.19,2.17,-0.11,0.06,-0.01,36.20
398406,5.59,-7.85,2.18,-0.09,0.01,-0.06,36.25
398933,5.74,-8.02,2.32,-0.09,-0.02,-0.03,36.15
399461,5.64,-7.82,2.15,-0.09,0.02,-0.02,36.25
399986,5.87,-7.88,2.19,-0.12,-0.05,-0.03,36.29
400516,6.02,-7.82,2.17,-0.06,-0.01,-0.02,36.29
401040,5.75,-7.77,2.29,-0.10,-0.01,-0.03,36.25
401571,5.98,-7.77,2.24,-0.08,0.01,-0.04,36.34
402094,5.82,-7.75,2.17,-0.09,-0.00,-0.03,36.25
402622,6.12,-7.58,2.22,-0.11,0.03,-0.03,36.39
403184,6.23,-7.64,2.26,-0.11,0.03,-0.02,36.29
403713,5.93,-7.34,2.38,-0.10,0.07,-0.04,36.34
404237,5.86,-8.44,1.54,-0.18,0.17,-0.09,36.25
404769,6.57,-7.53,2.49,-0.12,-0.00,-0.08,36.25
405293,6.57,-7.29,2.25,-0.12,-0.00,-0.01,36.29
